task,model_key,model,family,subgroup,source_model,summary_path,total_cases,total_fails,pass_rate,judge_fallback_rate
sentiment,llada_instruct,LLaDA-8B,DLLM,llada,GSAI-ML/LLaDA-8B-Instruct,raw_outputs_excluded/checklist/sentiment/llada_rerun_fixed/checklist_summary.json,86420,7968,0.9077991205739412,0.0
sentiment,llada_moe,LLaDA-MoE,DLLM,llada,inclusionAI/LLaDA-MoE-7B-A1B-Instruct,raw_outputs_excluded/expansion/checklist/sentiment/llada_moe/checklist_summary.json,86420,16102,0.8136773894931728,0.0
sentiment,dream,Dream-7B,DLLM,masked_diffusion,Dream-org/Dream-v0-Instruct-7B,raw_outputs_excluded/expansion/checklist/sentiment/dream_rerun/checklist_summary.json,86420,11149,0.8709905114556815,0.0
sentiment,llama_instruct,Llama-3.1,AR,ar,meta-llama/Llama-3.1-8B-Instruct,raw_outputs_excluded/checklist/sentiment/llama_rerun_fixed/checklist_summary.json,86420,17885,0.7930455912983105,0.0
sentiment,mistral,Mistral-7B,AR,ar,mistralai/Mistral-7B-Instruct-v0.3,raw_outputs_excluded/expansion/checklist/sentiment/mistral/checklist_summary.json,86420,15359,0.8222749363573247,0.0
sentiment,qwen,Qwen2.5-7B,AR,ar,Qwen/Qwen2.5-7B-Instruct,raw_outputs_excluded/expansion/checklist/sentiment/qwen/checklist_summary.json,86420,15218,0.8239065031242768,0.0
sentiment,gemma,Gemma-2-9B,AR,ar,google/gemma-2-9b-it,raw_outputs_excluded/expansion/checklist/sentiment/gemma/checklist_summary.json,86420,7959,0.9079032631335339,0.0
sentiment,olmo,OLMo-2-7B,AR,ar,allenai/OLMo-2-1124-7B-Instruct,raw_outputs_excluded/expansion/checklist/sentiment/olmo/checklist_summary.json,86420,10582,0.8775514927100209,0.0
qqp,llada_instruct,LLaDA-8B,DLLM,llada,GSAI-ML/LLaDA-8B-Instruct,raw_outputs_excluded/checklist/qqp/llada_rerun_fixed/checklist_summary.json,63216,10550,0.8331118704125537,0.0
qqp,llada_moe,LLaDA-MoE,DLLM,llada,inclusionAI/LLaDA-MoE-7B-A1B-Instruct,raw_outputs_excluded/expansion/checklist/qqp/llada_moe/checklist_summary.json,63216,14224,0.7749936724879778,0.0
qqp,dream,Dream-7B,DLLM,masked_diffusion,Dream-org/Dream-v0-Instruct-7B,raw_outputs_excluded/expansion/checklist/qqp/dream_rerun/checklist_summary.json,63216,10526,0.8334915211338901,0.0
qqp,llama_instruct,Llama-3.1,AR,ar,meta-llama/Llama-3.1-8B-Instruct,raw_outputs_excluded/checklist/qqp/llama_rerun_fixed/checklist_summary.json,63216,25020,0.6042141230068336,0.00047274253380350314
qqp,mistral,Mistral-7B,AR,ar,mistralai/Mistral-7B-Instruct-v0.3,raw_outputs_excluded/expansion/checklist/qqp/mistral/checklist_summary.json,63216,24972,0.6049734244495064,0.08437007057370684
qqp,qwen,Qwen2.5-7B,AR,ar,Qwen/Qwen2.5-7B-Instruct,raw_outputs_excluded/expansion/checklist/qqp/qwen/checklist_summary.json,63216,21528,0.6594533029612757,0.0
qqp,gemma,Gemma-2-9B,AR,ar,google/gemma-2-9b-it,raw_outputs_excluded/expansion/checklist/qqp/gemma/checklist_summary.json,63216,26643,0.5785402429764617,0.0
qqp,olmo,OLMo-2-7B,AR,ar,allenai/OLMo-2-1124-7B-Instruct,raw_outputs_excluded/expansion/checklist/qqp/olmo/checklist_summary.json,63216,21318,0.6627752467729688,0.0
squad,llada_instruct,LLaDA-8B,DLLM,llada,GSAI-ML/LLaDA-8B-Instruct,raw_outputs_excluded/checklist/squad/llada_rerun_fixed/checklist_summary.json,13311,3451,0.7407407407407407,0.0
squad,llada_moe,LLaDA-MoE,DLLM,llada,inclusionAI/LLaDA-MoE-7B-A1B-Instruct,raw_outputs_excluded/expansion/checklist/squad/llada_moe/checklist_summary.json,13311,2332,0.8248065509728796,0.0
squad,dream,Dream-7B,DLLM,masked_diffusion,Dream-org/Dream-v0-Instruct-7B,raw_outputs_excluded/expansion/checklist/squad/dream_rerun/checklist_summary.json,13311,2328,0.8251070543159793,0.0
squad,llama_instruct,Llama-3.1,AR,ar,meta-llama/Llama-3.1-8B-Instruct,raw_outputs_excluded/checklist/squad/llama_rerun_fixed/checklist_summary.json,13311,6327,0.5246788370520622,0.0
squad,mistral,Mistral-7B,AR,ar,mistralai/Mistral-7B-Instruct-v0.3,raw_outputs_excluded/expansion/checklist/squad/mistral/checklist_summary.json,13311,3740,0.7190293742017879,0.0
squad,qwen,Qwen2.5-7B,AR,ar,Qwen/Qwen2.5-7B-Instruct,raw_outputs_excluded/expansion/checklist/squad/qwen/checklist_summary.json,13311,3484,0.7382615881601683,0.0
squad,gemma,Gemma-2-9B,AR,ar,google/gemma-2-9b-it,raw_outputs_excluded/expansion/checklist/squad/gemma/checklist_summary.json,13311,4190,0.6852227481030726,0.0
squad,olmo,OLMo-2-7B,AR,ar,allenai/OLMo-2-1124-7B-Instruct,raw_outputs_excluded/expansion/checklist/squad/olmo/checklist_summary.json,13311,4055,0.6953647359326873,0.0
